condition,task_id,baseline_success_rate,condition_success_rate,delta_success_rate,baseline_episodes,condition_episodes
baseline,0,1.0,1.0,0.0,10,10
baseline,1,1.0,1.0,0.0,10,10
baseline,2,1.0,1.0,0.0,10,10
baseline,3,1.0,1.0,0.0,10,10
baseline,4,1.0,1.0,0.0,10,10
baseline,5,0.8,0.8,0.0,10,10
baseline,6,1.0,1.0,0.0,10,10
baseline,7,1.0,1.0,0.0,10,10
baseline,8,0.9,0.9,0.0,10,10
baseline,9,1.0,1.0,0.0,10,10
drop_00_04,0,1.0,1.0,0.0,10,10
drop_00_04,1,1.0,1.0,0.0,10,10
drop_00_04,2,1.0,0.9,-0.09999999999999998,10,10
drop_00_04,3,1.0,1.0,0.0,10,10
drop_00_04,4,1.0,1.0,0.0,10,10
drop_00_04,5,0.8,1.0,0.19999999999999996,10,10
drop_00_04,6,1.0,1.0,0.0,10,10
drop_00_04,7,1.0,1.0,0.0,10,10
drop_00_04,8,0.9,0.9,0.0,10,10
drop_00_04,9,1.0,0.9,-0.09999999999999998,10,10
drop_05_09,0,1.0,1.0,0.0,10,10
drop_05_09,1,1.0,0.9,-0.09999999999999998,10,10
drop_05_09,2,1.0,1.0,0.0,10,10
drop_05_09,3,1.0,1.0,0.0,10,10
drop_05_09,4,1.0,1.0,0.0,10,10
drop_05_09,5,0.8,0.9,0.09999999999999998,10,10
drop_05_09,6,1.0,1.0,0.0,10,10
drop_05_09,7,1.0,1.0,0.0,10,10
drop_05_09,8,0.9,0.8,-0.09999999999999998,10,10
drop_05_09,9,1.0,0.9,-0.09999999999999998,10,10
drop_10_14,0,1.0,1.0,0.0,10,10
drop_10_14,1,1.0,0.9,-0.09999999999999998,10,10
drop_10_14,2,1.0,1.0,0.0,10,10
drop_10_14,3,1.0,1.0,0.0,10,10
drop_10_14,4,1.0,1.0,0.0,10,10
drop_10_14,5,0.8,1.0,0.19999999999999996,10,10
drop_10_14,6,1.0,1.0,0.0,10,10
drop_10_14,7,1.0,0.9,-0.09999999999999998,10,10
drop_10_14,8,0.9,0.9,0.0,10,10
drop_10_14,9,1.0,1.0,0.0,10,10
drop_15_19,0,1.0,0.9,-0.09999999999999998,10,10
drop_15_19,1,1.0,0.7,-0.30000000000000004,10,10
drop_15_19,2,1.0,0.7,-0.30000000000000004,10,10
drop_15_19,3,1.0,1.0,0.0,10,10
drop_15_19,4,1.0,0.6,-0.4,10,10
drop_15_19,5,0.8,0.5,-0.30000000000000004,10,10
drop_15_19,6,1.0,1.0,0.0,10,10
drop_15_19,7,1.0,0.5,-0.5,10,10
drop_15_19,8,0.9,0.7,-0.20000000000000007,10,10
drop_15_19,9,1.0,0.4,-0.6,10,10
drop_20_24,0,1.0,1.0,0.0,10,10
drop_20_24,1,1.0,0.6,-0.4,10,10
drop_20_24,2,1.0,1.0,0.0,10,10
drop_20_24,3,1.0,0.9,-0.09999999999999998,10,10
drop_20_24,4,1.0,0.8,-0.19999999999999996,10,10
drop_20_24,5,0.8,1.0,0.19999999999999996,10,10
drop_20_24,6,1.0,1.0,0.0,10,10
drop_20_24,7,1.0,1.0,0.0,10,10
drop_20_24,8,0.9,0.6,-0.30000000000000004,10,10
drop_20_24,9,1.0,1.0,0.0,10,10
drop_25_29,0,1.0,1.0,0.0,10,10
drop_25_29,1,1.0,1.0,0.0,10,10
drop_25_29,2,1.0,1.0,0.0,10,10
drop_25_29,3,1.0,0.7,-0.30000000000000004,10,10
drop_25_29,4,1.0,0.5,-0.5,10,10
drop_25_29,5,0.8,1.0,0.19999999999999996,10,10
drop_25_29,6,1.0,0.6,-0.4,10,10
drop_25_29,7,1.0,0.0,-1.0,10,10
drop_25_29,8,0.9,0.9,0.0,10,10
drop_25_29,9,1.0,0.0,-1.0,10,10
drop_all,0,1.0,0.0,-1.0,10,10
drop_all,1,1.0,0.0,-1.0,10,10
drop_all,2,1.0,0.0,-1.0,10,10
drop_all,3,1.0,0.0,-1.0,10,10
drop_all,4,1.0,0.0,-1.0,10,10
drop_all,5,0.8,0.0,-0.8,10,10
drop_all,6,1.0,0.0,-1.0,10,10
drop_all,7,1.0,0.0,-1.0,10,10
drop_all,8,0.9,0.0,-0.9,10,10
drop_all,9,1.0,0.0,-1.0,10,10
