condition,component_type,component_index,component_name,semantic_group,metric_name,mean_value,mean_norm_rms,episode_cluster_ci_low,episode_cluster_ci_high,num_samples,num_episode_clusters
baseline_round2,dimension,0,delta_position_x,translation,executed_prefix_norm_rms,0.0,0.0,0.0,0.0,499,100
baseline_round2,dimension,1,delta_position_y,translation,executed_prefix_norm_rms,0.0,0.0,0.0,0.0,499,100
baseline_round2,dimension,2,delta_position_z,translation,executed_prefix_norm_rms,0.0,0.0,0.0,0.0,499,100
baseline_round2,dimension,3,delta_axis_angle_x,rotation,executed_prefix_norm_rms,0.0,0.0,0.0,0.0,499,100
baseline_round2,dimension,4,delta_axis_angle_y,rotation,executed_prefix_norm_rms,0.0,0.0,0.0,0.0,499,100
baseline_round2,dimension,5,delta_axis_angle_z,rotation,executed_prefix_norm_rms,0.0,0.0,0.0,0.0,499,100
baseline_round2,group,translation,translation,translation,executed_prefix_norm_rms,0.0,0.0,0.0,0.0,499,100
baseline_round2,group,rotation,rotation,rotation,executed_prefix_norm_rms,0.0,0.0,0.0,0.0,499,100
baseline_round2,dimension,6,gripper,gripper,executed_prefix_gripper_flip_rate,0.0,,0.0,0.0,499,100
keep_15_29,dimension,0,delta_position_x,translation,executed_prefix_norm_rms,0.1558874487198663,0.1558874487198663,0.14675326783958526,0.1647250471729289,499,100
keep_15_29,dimension,1,delta_position_y,translation,executed_prefix_norm_rms,0.07496744054515328,0.07496744054515328,0.0691707359459504,0.08057989117501989,499,100
keep_15_29,dimension,2,delta_position_z,translation,executed_prefix_norm_rms,0.15617716937633322,0.15617716937633322,0.15200485177403786,0.16033280475297285,499,100
keep_15_29,dimension,3,delta_axis_angle_x,rotation,executed_prefix_norm_rms,0.09341152559464444,0.09341152559464444,0.0860987348582192,0.10099349739759807,499,100
keep_15_29,dimension,4,delta_axis_angle_y,rotation,executed_prefix_norm_rms,0.13408040174840483,0.13408040174840483,0.1281101547441807,0.14023862185110547,499,100
keep_15_29,dimension,5,delta_axis_angle_z,rotation,executed_prefix_norm_rms,0.0873149304175384,0.0873149304175384,0.0806984366708195,0.09407498030331664,499,100
keep_15_29,group,translation,translation,translation,executed_prefix_norm_rms,0.1462507975561913,0.1462507975561913,0.14204733306183825,0.15043614673874484,499,100
keep_15_29,group,rotation,rotation,rotation,executed_prefix_norm_rms,0.11887717614761942,0.11887717614761942,0.11440455390526694,0.12333968240762208,499,100
keep_15_29,dimension,6,gripper,gripper,executed_prefix_gripper_flip_rate,0.010621242484969942,,0.008395823293172693,0.0132,499,100
keep_20_29,dimension,0,delta_position_x,translation,executed_prefix_norm_rms,0.41291505272083867,0.41291505272083867,0.387092707742294,0.4389606864075773,499,100
keep_20_29,dimension,1,delta_position_y,translation,executed_prefix_norm_rms,0.24291523443930702,0.24291523443930702,0.2188932242734194,0.26760951145175266,499,100
keep_20_29,dimension,2,delta_position_z,translation,executed_prefix_norm_rms,0.3210041240160229,0.3210041240160229,0.3107127611241134,0.3317191603963324,499,100
keep_20_29,dimension,3,delta_axis_angle_x,rotation,executed_prefix_norm_rms,0.22564952452108433,0.22564952452108433,0.20663769951062358,0.2447021247652483,499,100
keep_20_29,dimension,4,delta_axis_angle_y,rotation,executed_prefix_norm_rms,0.26577866620792917,0.26577866620792917,0.2502277063787759,0.28223438914523846,499,100
keep_20_29,dimension,5,delta_axis_angle_z,rotation,executed_prefix_norm_rms,0.15748032188425193,0.15748032188425193,0.14135324086629225,0.1750738914315313,499,100
keep_20_29,group,translation,translation,translation,executed_prefix_norm_rms,0.3666933536085954,0.3666933536085954,0.3579101536031965,0.3755667219975191,499,100
keep_20_29,group,rotation,rotation,rotation,executed_prefix_norm_rms,0.2478298208398942,0.2478298208398942,0.23785944528947256,0.2583084961825076,499,100
keep_20_29,dimension,6,gripper,gripper,executed_prefix_gripper_flip_rate,0.061523046092184376,,0.050199999999999995,0.074,499,100
keep_25_29,dimension,0,delta_position_x,translation,executed_prefix_norm_rms,0.885207536966452,0.885207536966452,0.8209471272741633,0.9470139708360654,499,100
keep_25_29,dimension,1,delta_position_y,translation,executed_prefix_norm_rms,0.513043666905986,0.513043666905986,0.4516746468593279,0.5753848552745571,499,100
keep_25_29,dimension,2,delta_position_z,translation,executed_prefix_norm_rms,0.621790147088354,0.621790147088354,0.6031441795401314,0.6413501607383162,499,100
keep_25_29,dimension,3,delta_axis_angle_x,rotation,executed_prefix_norm_rms,0.4551552806785037,0.4551552806785037,0.41609794779390313,0.49506952543919125,499,100
keep_25_29,dimension,4,delta_axis_angle_y,rotation,executed_prefix_norm_rms,0.5113921375817307,0.5113921375817307,0.4795756346671562,0.5436470481821754,499,100
keep_25_29,dimension,5,delta_axis_angle_z,rotation,executed_prefix_norm_rms,0.272013324926169,0.272013324926169,0.2390787261217483,0.30788078535321933,499,100
keep_25_29,group,translation,translation,translation,executed_prefix_norm_rms,0.793712531959869,0.793712531959869,0.7701973654057298,0.8165057150091771,499,100
keep_25_29,group,rotation,rotation,rotation,executed_prefix_norm_rms,0.4774551967884268,0.4774551967884268,0.45607876891306054,0.49874843681961445,499,100
keep_25_29,dimension,6,gripper,gripper,executed_prefix_gripper_flip_rate,0.19378757515030062,,0.16540000000000002,0.2220883534136546,499,100
keep_00_14,dimension,0,delta_position_x,translation,executed_prefix_norm_rms,1.1822149262525574,1.1822149262525574,1.0828571943033836,1.2829889411040023,499,100
keep_00_14,dimension,1,delta_position_y,translation,executed_prefix_norm_rms,0.7054466545056253,0.7054466545056253,0.6253315072521687,0.787715028765682,499,100
keep_00_14,dimension,2,delta_position_z,translation,executed_prefix_norm_rms,0.7267645956243494,0.7267645956243494,0.6966036416112781,0.7573294447009389,499,100
keep_00_14,dimension,3,delta_axis_angle_x,rotation,executed_prefix_norm_rms,0.5002424843400536,0.5002424843400536,0.4581689338097486,0.5449790318826689,499,100
keep_00_14,dimension,4,delta_axis_angle_y,rotation,executed_prefix_norm_rms,0.5723907295568128,0.5723907295568128,0.5387909458265375,0.6051663570745287,499,100
keep_00_14,dimension,5,delta_axis_angle_z,rotation,executed_prefix_norm_rms,0.34843466424801095,0.34843466424801095,0.29517909624080924,0.40633610552761407,499,100
keep_00_14,group,translation,translation,translation,executed_prefix_norm_rms,1.012730781102016,1.012730781102016,0.9691408327945847,1.0554522303988056,499,100
keep_00_14,group,rotation,rotation,rotation,executed_prefix_norm_rms,0.5566879664910022,0.5566879664910022,0.5286789341730921,0.5844910726266656,499,100
keep_00_14,dimension,6,gripper,gripper,executed_prefix_gripper_flip_rate,0.4308617234468938,,0.3951903807615231,0.46673513026052105,499,100
keep_00_19,dimension,0,delta_position_x,translation,executed_prefix_norm_rms,0.7999785128542964,0.7999785128542964,0.7334529390056637,0.8681211591926464,499,100
