comparison_id,question,reference_condition,target_condition,reference_success_rate,target_success_rate,paired_delta_success_rate,paired_delta_ci_low,paired_delta_ci_high,task_hierarchical_delta_ci_low,task_hierarchical_delta_ci_high,reference_success_to_target_success,reference_success_to_target_failure,reference_failure_to_target_success,reference_failure_to_target_failure,induced_failures,rescued_successes,discordant_pairs,mcnemar_exact_p_value,paired_episodes,mcnemar_holm_p_value_for_baseline_family
A,early_access_collectively_unnecessary,baseline_round2,keep_15_29,0.97,0.95,-0.02,-0.07,0.03,-0.09,0.04,93,4,2,1,4,2,6,0.6875,100,0.6875
B1,early_half_only_vs_baseline,baseline_round2,keep_00_14,0.97,0.0,-0.97,-1.0,-0.93,-1.0,-0.9099999999999999,0,97,0,3,97,0,97,1.262177448353619e-29,100,8.835242138475332e-29
B2,through_layer_19_vs_baseline,baseline_round2,keep_00_19,0.97,0.12,-0.85,-0.92,-0.77,-0.99,-0.65,11,86,1,2,86,1,87,1.137373342260413e-24,100,4.549493369041652e-24
B3,contribution_of_layers_15_19_under_early_only_retrieval,keep_00_14,keep_00_19,0.0,0.12,0.12,0.06,0.19,0.01,0.27999999999999997,0,0,12,88,0,12,12,0.00048828125,100,
C,contribution_of_layers_15_19,keep_15_29,keep_20_29,0.95,0.49,-0.46,-0.56,-0.36,-0.6402499999999999,-0.27999999999999997,48,47,1,4,47,1,48,3.481659405224491e-13,100,
D,final_window_sufficiency,baseline_round2,keep_25_29,0.97,0.0,-0.97,-1.0,-0.93,-1.0,-0.9099999999999999,0,97,0,3,97,0,97,1.262177448353619e-29,100,8.835242138475332e-29
E1,middle_window_only_vs_baseline,baseline_round2,keep_15_19,0.97,0.08,-0.89,-0.95,-0.83,-0.99,-0.73,8,89,0,3,89,0,89,3.2311742677852644e-27,100,1.6155871338926322e-26
E2,final_window_only_vs_baseline,baseline_round2,keep_25_29,0.97,0.0,-0.97,-1.0,-0.93,-1.0,-0.9099999999999999,0,97,0,3,97,0,97,1.262177448353619e-29,100,8.835242138475332e-29
E3,combined_critical_windows_vs_baseline,baseline_round2,keep_15_19_25_29,0.97,0.86,-0.11,-0.19,-0.04,-0.22000000000000003,-0.019999999999999997,84,13,2,1,13,2,15,0.00738525390625,100,0.0147705078125
E4,combined_critical_windows_vs_middle_window_only,keep_15_19,keep_15_19_25_29,0.08,0.86,0.78,0.6897500000000002,0.87,0.62,0.9099999999999999,6,2,80,12,2,80,82,1.4078614025652531e-21,100,
E5,combined_critical_windows_vs_final_window_only,keep_25_29,keep_15_19_25_29,0.0,0.86,0.86,0.79,0.92,0.75,0.95,0,0,86,14,0,86,86,2.5849394142282115e-26,100,
