round,condition,enabled_layer_ranges,num_retrieval_layers,online_success_rate,delta_success_rate_within_round,round1_raw_output_full_chunk_rms,offline_sample_population,offline_population_note
round1_necessity,baseline,0-29,30,0.97,0.0,3.250113222748041e-06,500,original Round-1 bank
round1_necessity,drop_00_04,5-29,25,0.97,0.0,0.01893195840343833,500,original Round-1 bank
round1_necessity,drop_05_09,"0-4,10-29",25,0.95,-0.020000000000000018,0.008222689907997847,500,original Round-1 bank
round1_necessity,drop_10_14,"0-9,15-29",25,0.97,0.0,0.03040702718310058,500,original Round-1 bank
round1_necessity,drop_15_19,"0-14,20-29",25,0.7,-0.27,0.0664181009531021,500,original Round-1 bank
round1_necessity,drop_20_24,"0-19,25-29",25,0.89,-0.07999999999999996,0.05880754406005144,500,original Round-1 bank
round1_necessity,drop_25_29,0-24,25,0.67,-0.29999999999999993,0.1215101070702076,500,original Round-1 bank
round1_necessity,drop_all,none,0,0.0,-0.97,0.33945348009467124,500,original Round-1 bank
round2_sufficiency,baseline_round2,0-29,30,0.97,0.0,0.0,499,fixed QC-valid Round-1 subset
round2_sufficiency,keep_15_29,15-29,15,0.95,-0.020000000000000018,0.04572764761199923,499,fixed QC-valid Round-1 subset
round2_sufficiency,keep_20_29,20-29,10,0.49,-0.48,0.127661525353784,499,fixed QC-valid Round-1 subset
round2_sufficiency,keep_25_29,25-29,5,0.0,-0.97,0.2704517803352028,499,fixed QC-valid Round-1 subset
round2_sufficiency,keep_00_14,0-14,15,0.0,-0.97,0.2895591393265436,499,fixed QC-valid Round-1 subset
round2_sufficiency,keep_00_19,0-19,20,0.12,-0.85,0.18148913606429326,499,fixed QC-valid Round-1 subset
round2_sufficiency,keep_15_19,15-19,5,0.08,-0.89,0.23488979470421203,499,fixed QC-valid Round-1 subset
round2_sufficiency,keep_15_19_25_29,"15-19,25-29",10,0.86,-0.10999999999999999,0.094161760475542,499,fixed QC-valid Round-1 subset
