task_id,task_description,baseline_round2,keep_15_29,keep_20_29,keep_25_29,keep_00_14,keep_00_19,keep_15_19,keep_15_19_25_29
0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9
1,pick up the black bowl next to the ramekin and place it on the plate,1.0,0.8,0.2,0.0,0.0,0.0,0.0,0.9
2,pick up the black bowl from table center and place it on the plate,1.0,1.0,0.7,0.0,0.0,0.0,0.0,1.0
3,pick up the black bowl on the cookie box and place it on the plate,1.0,1.0,0.7,0.0,0.0,0.2,0.2,1.0
4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.6
5,pick up the black bowl on the ramekin and place it on the plate,0.8,0.9,0.1,0.0,0.0,0.7,0.5,0.8
6,pick up the black bowl next to the cookie box and place it on the plate,1.0,1.0,0.8,0.0,0.0,0.0,0.0,1.0
7,pick up the black bowl on the stove and place it on the plate,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.9
8,pick up the black bowl next to the plate and place it on the plate,0.9,0.9,0.5,0.0,0.0,0.2,0.0,0.7
9,pick up the black bowl on the wooden cabinet and place it on the plate,1.0,0.9,0.3,0.0,0.0,0.0,0.0,0.8
