cell_code,A,B,C,condition,replan_id,executed_prefix_norm_rms,episode_cluster_ci_low,episode_cluster_ci_high,num_samples,num_episode_clusters
000,0,0,0,keep_none_late,0,1.156177654745043,1.1113358519829264,1.1983004490208213,99,99
000,0,0,0,keep_none_late,1,1.1009836626662155,1.0572631093816744,1.1432842300272537,100,100
000,0,0,0,keep_none_late,2,0.9691617299718746,0.9275505678100896,1.0079671934209307,100,100
000,0,0,0,keep_none_late,3,0.7686859653382292,0.7257139397465632,0.8095377136178198,100,100
000,0,0,0,keep_none_late,4,0.8272702880194543,0.7840743790034884,0.8721531267808095,100,100
001,0,0,1,keep_25_29,0,0.6746970261897561,0.6517744868507591,0.6974014305166409,99,99
001,0,0,1,keep_25_29,1,0.6561571976690364,0.6353426907899896,0.6767889264499146,100,100
001,0,0,1,keep_25_29,2,0.6927046828477333,0.665159667928209,0.7182427690517729,100,100
001,0,0,1,keep_25_29,3,0.6468393728671429,0.6190567218291658,0.6746134112766061,100,100
001,0,0,1,keep_25_29,4,0.7111290938070007,0.6722331864944453,0.7510318580089532,100,100
010,0,1,0,keep_20_24,0,0.916281678950343,0.8835194028486376,0.9486452184979705,99,99
010,0,1,0,keep_20_24,1,0.8573115539852093,0.8193297420142094,0.8950419323969039,100,100
010,0,1,0,keep_20_24,2,0.742088407674608,0.7060299689152931,0.7777251434609985,100,100
010,0,1,0,keep_20_24,3,0.5905804751843666,0.558266428525159,0.6228822333402598,100,100
010,0,1,0,keep_20_24,4,0.6396302512730726,0.6021843076654018,0.677888009757224,100,100
011,0,1,1,keep_20_29,0,0.3332162949895028,0.32093457692348726,0.3459345534101019,99,99
011,0,1,1,keep_20_29,1,0.32155981609635637,0.31303990182168484,0.33003403175955026,100,100
011,0,1,1,keep_20_29,2,0.32785126382172863,0.31403110181090377,0.34175138708106073,100,100
011,0,1,1,keep_20_29,3,0.30679016469466786,0.2930699854590733,0.3205291251054552,100,100
011,0,1,1,keep_20_29,4,0.33301933562615615,0.3052877529110032,0.3628311084571573,100,100
100,1,0,0,keep_15_19,0,0.9663768533742223,0.9264585958922479,1.0033347953669214,99,99
100,1,0,0,keep_15_19,1,0.8146662759951271,0.7768227454620892,0.8521883966931864,100,100
100,1,0,0,keep_15_19,2,0.6483911808718836,0.6215025036389852,0.6754996585651968,100,100
100,1,0,0,keep_15_19,3,0.5653241102691884,0.53252114572996,0.59892071762154,100,100
100,1,0,0,keep_15_19,4,0.6272465821240533,0.589357266243359,0.6663237879957251,100,100
101,1,0,1,keep_15_19_25_29,0,0.4320191595843985,0.41475490575619267,0.4493113166510553,99,99
101,1,0,1,keep_15_19_25_29,1,0.31937653574352104,0.30542916033111794,0.33445414253463673,100,100
101,1,0,1,keep_15_19_25_29,2,0.28475605715372015,0.27200790211091663,0.29810336323927283,100,100
101,1,0,1,keep_15_19_25_29,3,0.28547557232869003,0.26997231118407194,0.3017036818685217,100,100
101,1,0,1,keep_15_19_25_29,4,0.3188883520844158,0.2977465856705934,0.3406575527870651,100,100
110,1,1,0,keep_15_24,0,0.7111822618937448,0.679669947561351,0.7427316219824431,99,99
110,1,1,0,keep_15_24,1,0.5382575286197944,0.5165576973410194,0.5595288902971125,100,100
110,1,1,0,keep_15_24,2,0.46308977167077414,0.4420918811366946,0.48412698722945957,100,100
110,1,1,0,keep_15_24,3,0.4340844888650554,0.4060655935458948,0.46249639617878574,100,100
110,1,1,0,keep_15_24,4,0.4610945418170275,0.4302803163816303,0.49308654467275587,100,100
111,1,1,1,keep_15_29,0,0.16554161267979414,0.1598018778161012,0.17118380223203858,99,99
111,1,1,1,keep_15_29,1,0.1442737708492178,0.14072898727759223,0.14789736655932983,100,100
111,1,1,1,keep_15_29,2,0.12942346779637992,0.12395254929345259,0.13481433596257034,100,100
111,1,1,1,keep_15_29,3,0.12026838817458131,0.11376074360367297,0.1270338305094003,100,100
111,1,1,1,keep_15_29,4,0.12422264251747754,0.11451611696772553,0.135116929125164,100,100
