effect_id,factor,context_A,context_B,context_C,reference_cell,target_cell,formula,coefficients,coefficient_by_cell,effect_scale,effect,effect_pp,paired_ci_low,paired_ci_high,task_hierarchical_ci_low,task_hierarchical_ci_high,ci_method,ci_scope,bootstrap_samples,bootstrap_seed,mcnemar_exact_p_value
simple_A_B0_C0,A,,0,0,000,100,y100 - y000,"[-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0]","{""000"":-1.0,""001"":0.0,""010"":0.0,""011"":0.0,""100"":1.0,""101"":0.0,""110"":0.0,""111"":0.0}",success_probability_difference,0.08,8.0,0.03,0.14,0.0,0.2,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,0.0078125
simple_A_B1_C0,A,,1,0,010,110,y110 - y010,"[0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0]","{""000"":0.0,""001"":0.0,""010"":-1.0,""011"":0.0,""100"":0.0,""101"":0.0,""110"":1.0,""111"":0.0}",success_probability_difference,0.61,61.0,0.51,0.7,0.35,0.85,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,8.673617379884035e-19
simple_A_B0_C1,A,,0,1,001,101,y101 - y001,"[0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0]","{""000"":0.0,""001"":-1.0,""010"":0.0,""011"":0.0,""100"":0.0,""101"":1.0,""110"":0.0,""111"":0.0}",success_probability_difference,0.86,86.0,0.79,0.92,0.75,0.95,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,2.5849394142282115e-26
simple_A_B1_C1,A,,1,1,011,111,y111 - y011,"[0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0]","{""000"":0.0,""001"":0.0,""010"":0.0,""011"":-1.0,""100"":0.0,""101"":0.0,""110"":0.0,""111"":1.0}",success_probability_difference,0.45999999999999996,46.0,0.36,0.56,0.2799999999999999,0.6400000000000001,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,3.481659405224491e-13
simple_B_A0_C0,B,0,,0,000,010,y010 - y000,"[-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0]","{""000"":-1.0,""001"":0.0,""010"":1.0,""011"":0.0,""100"":0.0,""101"":0.0,""110"":0.0,""111"":0.0}",success_probability_difference,0.0,0.0,0.0,0.0,0.0,0.0,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,1.0
simple_B_A1_C0,B,1,,0,100,110,y110 - y100,"[0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0]","{""000"":0.0,""001"":0.0,""010"":0.0,""011"":0.0,""100"":-1.0,""101"":0.0,""110"":1.0,""111"":0.0}",success_probability_difference,0.53,53.0,0.43,0.63,0.29,0.7699999999999999,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,3.1086244689504383e-15
simple_B_A0_C1,B,0,,1,001,011,y011 - y001,"[0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0]","{""000"":0.0,""001"":-1.0,""010"":0.0,""011"":1.0,""100"":0.0,""101"":0.0,""110"":0.0,""111"":0.0}",success_probability_difference,0.49,49.0,0.39,0.59,0.2997500000000002,0.69,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,3.552713678800501e-15
simple_B_A1_C1,B,1,,1,101,111,y111 - y101,"[0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0]","{""000"":0.0,""001"":0.0,""010"":0.0,""011"":0.0,""100"":0.0,""101"":-1.0,""110"":0.0,""111"":1.0}",success_probability_difference,0.08999999999999997,8.999999999999996,0.019999999999999907,0.16999999999999993,-0.01000000000000012,0.20000000000000018,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,0.03515625
simple_C_A0_B0,C,0,0,,000,001,y001 - y000,"[-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""000"":-1.0,""001"":1.0,""010"":0.0,""011"":0.0,""100"":0.0,""101"":0.0,""110"":0.0,""111"":0.0}",success_probability_difference,0.0,0.0,0.0,0.0,0.0,0.0,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,1.0
simple_C_A1_B0,C,1,0,,100,101,y101 - y100,"[0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0]","{""000"":0.0,""001"":0.0,""010"":0.0,""011"":0.0,""100"":-1.0,""101"":1.0,""110"":0.0,""111"":0.0}",success_probability_difference,0.78,78.0,0.68,0.87,0.6199999999999999,0.91,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,1.4078614025652531e-21
simple_C_A0_B1,C,0,1,,010,011,y011 - y010,"[0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0]","{""000"":0.0,""001"":0.0,""010"":-1.0,""011"":1.0,""100"":0.0,""101"":0.0,""110"":0.0,""111"":0.0}",success_probability_difference,0.49,49.0,0.39,0.59,0.2997500000000002,0.69,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,3.552713678800501e-15
simple_C_A1_B1,C,1,1,,110,111,y111 - y110,"[0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0]","{""000"":0.0,""001"":0.0,""010"":0.0,""011"":0.0,""100"":0.0,""101"":0.0,""110"":-1.0,""111"":1.0}",success_probability_difference,0.33999999999999997,34.0,0.22999999999999998,0.44999999999999996,0.07000000000000006,0.62,joint paired bootstrap; joint task-hierarchical paired bootstrap,pointwise,10000,0,5.65314621780999e-08
