task_id,task_description,y000,delta_y000_vs_y111,y001,delta_y001_vs_y111,y010,delta_y010_vs_y111,y011,delta_y011_vs_y111,y100,delta_y100_vs_y111,y101,delta_y101_vs_y111,y110,delta_y110_vs_y111,y111,delta_y111_vs_y111
0,pick up the black bowl between the plate and the ramekin and place it on the plate,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.1,-0.9,0.9,-0.09999999999999998,1.0,0.0,1.0,0.0
1,pick up the black bowl next to the ramekin and place it on the plate,0.0,-0.8,0.0,-0.8,0.0,-0.8,0.2,-0.6000000000000001,0.0,-0.8,0.9,0.09999999999999998,1.0,0.19999999999999996,0.8,0.0
2,pick up the black bowl from table center and place it on the plate,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.7,-0.30000000000000004,0.0,-1.0,1.0,0.0,0.7,-0.30000000000000004,1.0,0.0
3,pick up the black bowl on the cookie box and place it on the plate,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.7,-0.30000000000000004,0.2,-0.8,1.0,0.0,0.6,-0.4,1.0,0.0
4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.5,-0.5,0.0,-1.0,0.6,-0.4,0.0,-1.0,1.0,0.0
5,pick up the black bowl on the ramekin and place it on the plate,0.0,-0.9,0.0,-0.9,0.0,-0.9,0.1,-0.8,0.5,-0.4,0.8,-0.09999999999999998,1.0,0.09999999999999998,0.9,0.0
6,pick up the black bowl next to the cookie box and place it on the plate,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.8,-0.19999999999999996,0.0,-1.0,1.0,0.0,0.7,-0.30000000000000004,1.0,0.0
7,pick up the black bowl on the stove and place it on the plate,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.1,-0.9,0.0,-1.0,0.9,-0.09999999999999998,0.1,-0.9,1.0,0.0
8,pick up the black bowl next to the plate and place it on the plate,0.0,-0.9,0.0,-0.9,0.0,-0.9,0.5,-0.4,0.0,-0.9,0.7,-0.20000000000000007,1.0,0.09999999999999998,0.9,0.0
9,pick up the black bowl on the wooden cabinet and place it on the plate,0.0,-0.9,0.0,-0.9,0.0,-0.9,0.3,-0.6000000000000001,0.0,-0.9,0.8,-0.09999999999999998,0.0,-0.9,0.9,0.0
